,Name,STATE_FIPS,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
10,Illinois,17,11893.6301754,10367.1472455,9470.67940789,7610.58262774,7211.74376923,8085.1630597,8972.97087591,10032.3057554,10890.7324306,9859.57276596,10865.7588489,11508.3776429,13018.1635374,13635.6031902,15600.436185,16894.78875,17460.9280556,16876.9106667,15767.9884753,16165.9415768,15188.8590336,16299.4708299,16717.3831538,16928.1836604,17749.5218352,17362.343829,18171.6041045,19339.8795588,19254.8866192,18640.2216955,19477.8953265,19569.2533784,20011.4947492,20615.4428477,20899.8299673,21668.237,22883.9466667,23830.8229321,24312.0522455,24936.8438218,25452.1552589,25324.2128866,25818.6009383,27027.5560287,28522.7907883,28129.1514807,27857.9085874,28741.9253251,29684.6987624,30525.456273,30268.6293526,28840.1255947,28911.7519252,28392.2489845,28624.3192068,30315.9984023,30920.4442007,31875.1871168,32650.7939525,33479.0156974,33969.5117581,34069.8544147,33582.4437592,34809.1252174,34720.8462422,35379.7859649,36098.2433793,36925.2497451,37890.8432336,39451.1167975,40106.5718187,40190.1805052,39743.2518125,39741.2202613,39881.7287228,40430.4005453,40452.2530722,41736.8112103,42669.0048615,41899.3990469,40933.0
11,Indiana,18,7615.43619883,6603.1148503,6182.05302632,4854.48686131,4851.83676923,5747.67037313,6592.70635036,7423.90625899,8149.42631944,7181.66411348,7994.97597122,8443.56335714,10566.3121088,12016.7043558,14112.3182659,14603.1435227,14910.3215,13246.2845128,12631.7076682,12961.2395021,12268.2713025,13566.5721162,14118.1848846,14394.2183396,15612.1869288,14395.5124535,15265.7484701,15837.8785294,15590.1976512,14958.2025952,15710.5961168,16010.5484122,16115.3880268,17042.1941391,17429.3784967,18111.075129,19451.3546667,20136.0190432,20252.5497305,20966.6763506,21710.9105722,21066.6487113,21745.0465432,22865.1276316,24642.7635135,23673.0482759,23248.154461,24568.0684007,25486.0043399,26343.3009509,26045.8556198,24601.457682,24439.2809131,23783.5940518,24131.1045281,25696.9486526,26205.016645,27053.9769799,27693.4028873,28319.6093998,29014.3991129,28930.4868018,28439.541373,29464.8143478,29859.9871557,30621.4653239,30751.7110564,31141.3650414,31743.4559252,33143.9922331,33665.3108703,33651.910029,33422.2237719,33461.3323124,33916.6673533,34214.6197035,33798.6401229,34378.0644097,34301.3768894,33857.1138628,33174.0
12,Iowa,19,7289.23959064,6551.72874251,5645.71052632,4650.91160584,4175.22007692,4306.75022388,6655.34489051,6065.68640288,7791.86465278,6968.64865248,7331.30035971,7677.35978571,8887.96142857,10990.0855828,12698.6062428,12226.1710795,13015.2446667,13697.3623077,11708.1403139,14617.0022407,12223.2005042,13637.7877178,13515.831,13965.1443396,13314.1501498,14259.9314498,13368.5369403,13866.0311029,14803.8164769,14772.616955,14936.4935395,14937.8634122,15641.8280936,16225.2486093,17050.7837908,17640.4778387,19294.7086032,20308.1783642,19867.1539222,20418.0041379,21348.4774932,21354.1725258,21215.3255556,22957.5119856,26082.674009,24351.9077485,24691.6933829,24809.3753954,25783.3823597,27764.7730982,26932.3721488,25179.4578519,25886.0485809,24959.6569845,24738.5285643,26425.8375938,26707.4638941,27443.5104015,28137.2074208,27773.746027,28654.5305968,28528.3325172,28130.8097137,28960.2013043,28103.6046574,29673.2754791,29816.9829199,31056.5894264,31810.2898816,32699.1240982,32985.3856843,33293.1025029,33089.0917843,33667.6408227,33620.5130163,35237.9010005,34774.1078955,35306.0220685,36222.8168726,36595.3370924,35983.0
13,Kansas,20,6674.48444444,5999.32808383,5659.82480263,4165.46291971,4125.71153846,4594.93425373,5668.78788321,5973.0805036,6376.51638889,5827.49439716,5895.90892086,6512.73035714,8056.08326531,11200.6740491,12959.0268786,14249.6450568,13885.3113889,12498.1554872,12602.8461883,12035.4366805,11709.3934034,13023.5531535,13218.7797692,14790.9093962,13973.0278277,14283.8575093,14032.9612313,14362.9366544,14590.0429537,15574.3469204,15526.2859794,15691.6420608,15979.0601672,16374.4299669,16714.2551634,17412.0997419,18313.9680317,19162.6567284,19475.3348503,20146.7504598,20740.5252316,21099.8245361,21956.9349383,23676.0569617,25483.5166216,24878.4590061,24667.7673234,25341.0048682,25868.3475083,26593.3747546,27304.7090909,26134.9806553,26546.8886249,26653.721171,26651.2680823,28085.9699134,28571.7026952,29173.900073,29428.9618926,29616.2615976,29573.2333952,29844.7722571,29663.4418796,30513.7978261,30450.8918339,30909.5413225,30813.6508727,31614.4676673,32554.8201558,33808.6620798,34542.2598319,34654.826899,35104.8431564,34663.4073319,35105.9485489,35412.8014664,35555.1412135,37175.7716171,37814.187198,37847.864967,37036.0
14,Kentucky,21,4930.58719298,4175.12125749,4107.25440789,3304.1829927,3383.08346154,3730.38216418,4149.80328467,4537.68906475,5080.35534722,4518.97085106,4707.46654676,4903.70285714,5764.76972789,7081.03717791,8693.08884393,9349.42494318,9570.73394444,9087.56728205,8321.72668161,8857.44045643,8455.28176471,8812.93070539,9513.89080769,10014.4252453,10485.797191,10280.230223,10774.8806716,11334.1790074,11383.4401068,11454.3457093,11825.3384192,11835.7743581,12420.1855184,12943.2587417,13362.990915,13647.3214194,14534.0304127,15421.5022531,16064.5819461,16756.0794828,17367.5593188,17605.3043299,17962.8386914,19067.1041866,20028.2852477,20048.1127586,19671.2085688,20594.0438313,21577.6075083,22322.3774233,22576.6209366,21430.2675607,21500.9028603,21318.0859378,21236.1474197,22841.273282,23044.7829554,23479.6652828,24139.1895599,24609.1892646,25263.4618871,25416.1507881,25582.1983627,26484.5391304,26449.6654325,26801.2012011,27049.399311,27558.9116316,28357.6476947,29420.5249141,29923.1468727,30266.9098606,30061.830559,30167.5513563,30055.0013533,30540.5742033,30627.271362,31278.1324603,31499.4062515,31190.6344733,31250.0
15,Louisiana,22,5194.05368421,4560.51706587,4488.33986842,3773.9720438,3746.14607692,4242.70932836,4541.29416058,5093.32446043,5259.13618056,5294.95574468,5556.35395683,5577.962,6552.86482993,7791.77325153,9747.17236994,10678.0915909,10595.7440556,9164.5805641,8514.13654709,9071.08726141,9681.20747899,9943.47838174,9984.22192308,10346.3504151,10791.1307491,10678.997881,11183.1413806,11846.8593382,12337.7861922,12137.3008651,12422.5032646,12248.9030405,12491.9370234,12829.596755,13384.0239542,13861.8584194,14568.0839048,15434.7452778,16231.5867964,16947.1900287,16958.3606812,17174.0186082,17629.1144691,18440.9435646,19298.6661712,19626.0014199,19762.9251301,20952.2339016,21719.2160891,22871.8817025,23087.8454683,22997.6373908,23688.7554345,23472.3486632,23403.0572791,24009.9733975,24167.3139126,23544.2612774,23164.7081162,23780.4199577,24216.7289435,24987.7333665,25322.2967107,25946.2852174,26304.1662907,27184.8199933,27508.3170407,27694.279146,28349.6276199,29419.2087362,29420.9294058,29070.8847735,30425.2472727,30627.8697665,30821.0383587,31545.6840233,32718.8148746,35583.7708631,36200.0534479,35602.880638,35151.0
16,Maine,23,7540.16005848,7399.59952096,6930.10967105,5903.68240876,6122.55592308,6660.25313433,6733.64306569,7809.76417266,7598.18541667,7166.4487234,7639.98669065,8060.46157143,9209.03721088,11279.6447239,13665.8828902,13432.9417045,12860.3012778,12476.1516923,11246.3566368,11038.4182573,10663.7508824,10637.8304979,10883.6270385,11641.6681509,11642.8506742,11548.3113755,12656.0819776,13164.0534191,13131.8021352,13339.8958131,13638.9501718,13908.6656419,13654.3114047,14086.9824834,14365.5657843,15308.2530323,16229.8943175,16812.0198457,17073.0343114,17705.4673563,18355.4817439,18926.8080155,19038.1722963,19831.8413397,20869.0383559,20731.3238945,20014.1487546,21521.5675923,21743.9975908,22213.7927454,22154.0480579,21891.105534,21786.480165,21949.4694404,22726.7056928,24086.3725217,24988.7752881,26353.208312,27563.0943222,28676.8688166,29215.0950161,28690.8356771,27820.5028928,28059.5434783,27926.927128,28273.4287922,28492.3154856,29114.9543722,29814.6279439,30968.3501411,31682.1957443,31922.6570906,32789.87869,33070.1809172,33494.589125,34299.7985019,33747.0106349,34415.3104167,34786.6517155,34781.812246,35268.0
17,Maryland,24,9635.34596491,9146.72718563,9004.90828947,8017.73313869,7690.32630769,8373.34708955,8581.48,9538.4076259,9907.43784722,9631.34191489,10232.9518705,10880.0907143,12697.0877551,14701.7073006,15960.0646821,16139.0334091,15637.3635556,14467.4951282,13035.7683857,13352.9253112,13485.1828571,14617.0022407,14976.3328846,15738.1104906,16206.7838577,15456.2344238,16386.4641418,17226.0591176,17308.020605,16762.0950173,17133.470378,17445.6269932,17988.1023077,18740.0200662,19083.9775817,19938.0999032,20806.6836508,21745.0465432,22584.1943713,23617.564569,24604.5295095,25285.5077577,25924.5451358,27155.8676316,28131.4057207,27772.3150913,27427.2395167,28413.8986292,28997.8971452,29818.0106442,29653.9778926,29238.4770631,29272.8538064,29448.2601244,30646.912008,32403.5528489,33817.4912361,35167.6253832,36289.9911268,37405.2422823,38064.7462661,37791.012632,37128.1323568,37246.5591304,37271.5352803,37704.6606073,37862.1204199,38072.4552454,39060.4374704,40604.0886503,41806.3847839,42199.7518235,42919.5138905,43280.6633741,43500.8746359,45032.3270884,45648.1568612,46812.909871,47417.2483096,46872.6421833,47159.0
18,Massachusetts,25,11366.697193,10739.6965269,10712.7357237,9599.35627737,9225.091,9750.22634328,10069.1453285,11020.1020144,10905.6308333,10224.7421277,11174.4451799,11937.4516429,13149.5127211,14122.5890184,15650.0401156,15834.2933523,16066.4375556,15358.6488205,13805.4078475,13459.7487137,13340.9563025,14741.6295436,14992.8357308,15341.419434,15644.3273034,15392.4315985,16578.5868284,17304.9330147,17529.4288968,17229.7708304,17914.9453608,18199.4056419,18691.2670569,19421.9919868,19623.8255882,20291.047871,21119.9757778,22056.2576235,23014.553024,24061.4342241,24592.8381199,24804.458299,25151.1524938,26206.3617703,26821.9569144,26214.4196349,25676.6494981,26370.3300176,27033.0780858,27902.9717791,27990.2818733,27788.2694296,27920.4918592,28463.3907876,29852.0911948,32106.215717,33336.9762082,35144.1359307,36833.8877465,38689.1999831,38855.4189194,38119.3018439,37408.5111087,38038.6486957,38102.9589481,38855.5169838,39488.0405971,40498.1317145,41880.8304299,43952.4452638,45780.3414586,47332.6928223,47543.385878,46792.6781879,46485.7372446,47463.8978507,47806.7088582,49902.2001042,51073.8820741,50426.9515938,49590.0
19,Michigan,26,9911.35847953,8440.16820359,7621.70921053,6169.89620438,5726.48761538,7252.63141791,8299.60656934,9553.84194245,10205.4059028,8703.20312057,9646.44784173,10420.3685714,12098.7192517,13819.8680982,16790.9305202,16955.7367614,15792.3069444,14621.5216923,14103.643139,13913.7481743,13764.6218067,15293.5504564,15644.6981538,16070.0356604,17693.2761798,16556.8331599,17915.4405224,17943.8115809,17628.6808897,16673.01391,17384.1321649,17670.3110135,17414.0902676,18413.2418543,19126.0436601,20408.6971935,21896.3953968,22844.2175926,22828.2783832,24079.9287931,24230.4050409,23189.9014948,23842.7416543,25487.8167943,26826.7888288,25787.9566329,25038.6212454,26709.6679789,28169.4869472,29067.7892331,28666.9894904,26996.7737015,26256.5910341,25482.104601,26371.2499096,28032.2840423,29377.2133643,30483.4370529,30461.9877641,31188.5657312,31619.9855806,31223.5869472,30428.9703818,31007.7069565,31757.4147405,33095.4446289,33750.1612533,33427.5719503,34178.885296,35282.7813436,36202.1529472,36892.3904994,36579.1036251,36264.9814897,36664.8396848,36218.0250397,35718.8176754,35598.6692659,35636.1413365,35089.712893,34280.0
